term,occurances,category
Tits,11450,female_anatomy
Pussy,21164,female_anatomy
Cunt,1036,female_anatomy
Boobs,4586,female_anatomy
Breasts,430,female_anatomy
Clit,842,female_anatomy
Vagina,481,female_anatomy
Clitoris,69,female_anatomy
Dick,8666,male_anatomy
Penis,775,male_anatomy
Balls,1384,male_anatomy
Taint,6,male_anatomy
Cock,25526,male_anatomy
Forced,16,interactions
Tricked,91,interactions
Seduced,687,interactions
Hardcore,3214,interactions
Revenge,62,interactions
Manipulated,8,interactions
Accosted,4,interactions
Coerced,2,interactions
Surprise,540,interactions
Rough,619,interactions
Used,1706,interactions
Upskirt,1042,interactions
Brutal,170,interactions
Gangbang,921,interactions
R--e,1,interactions
Exploited,37,interactions
Caught,1109,interactions
Shame,152,interactions
Hidden Cam,111,interactions
Gullible,1,interactions
Naive,46,interactions
Boy,7154,male
Man,6850,male
Muscle,915,male
BBC,630,male
Daddy,985,male
Hung,1118,male
Dude,1856,male
Guy,11598,male
Girl,25384,female
Woman,5300,female
Whore,3189,female
Bitch,3421,female
Chick,5685,female
Slut,10934,female
Skank,142,female
Babe,10879,female
